"author_id","cohort","gender","discipline","pubyear","Jr_Quantile","n_ctr","n_aff","n_colla_ctr","n_colla_aff","sequence_nr","Original_Tweets","Original_Tweeters","len_tweet","len_tweeter","with_tw","self_pro_old","self_tw_time","self_text","others_first","searched","academic_age","most_ctr","colla_ctr_Y","colla_aff_Y","n_pub_3y","n_pub_1st","n_pub_2nd","n_pub_3rd","n_pub_pro_1st","n_pub_pro_2nd","n_pub_pro_3rd","seq_nr_grp_1","min_tw_time","first_firstauthor","PUBLICATIONYEAR","PUBLICATIONMONTH","PUBLICATIONDAY","pub_order","pub_before","tw_others_num","tw_only_self","tw_only_others","discipline_new_author","author_cnt","coauthor_pro_count","coauthor_pro","with_coauthor","SocialOutlet_count","Edu_count","SocialOutlet_pro","Edu_pro","soc_or_edu_pro","max_coa_fncr_5y","max_coa_age","uniqle_dis","discipline_new_pub","self_pro","chinese_name","firstauthor_top_100","coauthor_top_100"
1,2013,"male","Natural Sciences",2013,"Q1",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"chn","N","N",2,1,0,1,0,0,0,"first","",1,2013,NA,NA,1,0,0,0,0,"Physical sciences and astronomy",4,0,0,1,0,0,0,0,0,0.9969101,18,1,"Physical sciences and astronomy",0,NA,0,0
2,2013,"male","Social Sciences",2013,"Q1",1,1,1,1,1,0,0,0,0,0,0,"","",0,1,1,"usa","N","N",2,1,0,1,0,0,0,"first","",1,2013,9,NA,1,0,0,0,0,"Sociology and political science",1,0,0,0,0,0,0,0,0,0,1,NA,"Sociology and political science",0,NA,1,0
3,2015,"female","Social Sciences",2015,"Q2",1,2,1,2,1,NA,NA,0,0,0,0,"","",0,1,1,"usa","N","Y",1,1,0,0,0,0,0,"first","",1,2015,6,1,1,0,0,0,0,"Other social sciences",1,0,0,0,0,0,0,0,0,0,1,NA,"Other social sciences",0,NA,0,0
4,2016,"male","Natural Sciences",2016,"Q1",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"bra","N","N",2,1,0,1,0,0,0,"first","",1,2016,1,15,1,0,0,0,0,"Mathematics",2,0,0,1,0,0,0,0,0,0,1,1,"Mathematics",0,NA,0,0
5,2014,"male","Natural Sciences",2014,"Q3",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,0,1,"chn","N","N",4,3,1,0,0,0,0,"first","",1,2014,NA,NA,3,2,0,0,0,"Chemical engineering",4,0,0,1,0,0,0,0,0,2.1422887,12,NA,"Chemical engineering",0,NA,0,0
6,2015,"male","Natural Sciences",2016,"Q1",1,1,1,1,1,0,0,0,0,0,0,"","",0,0,2,"chn","N","N",8,2,2,4,0,0,0,"first","",1,2016,NA,NA,4,3,0,0,0,"Materials engineering",10,0,0,1,0,0,0,0,0,3.1992007,21,1,"Chemical sciences",0,NA,0,0
7,2013,"female","Engineering and Technology",2013,"Q2",1,1,1,1,1,0,0,0,0,0,0,"","",0,1,1,"usa","N","N",1,1,0,0,0,0,0,"first","",1,2013,NA,NA,1,0,0,0,0,"Other engineering and technologies",2,0,0,1,0,0,0,0,0,0,1,1,"Other engineering and technologies",0,NA,0,0
8,2013,"male","Social Sciences",2013,"Q3",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"can","N","N",2,1,0,1,0,0,0,"first","",1,2013,7,NA,1,0,0,0,0,"Other social sciences",2,0,0,1,0,0,0,0,0,0,1,1,"Other social sciences",0,NA,0,0
9,2013,"male","Natural Sciences",2013,"Q1",1,1,1,1,1,0,0,0,0,0,0,"","",0,1,1,"ita","N","N",3,1,1,1,0,0,0,"first","",1,2013,2,NA,1,0,0,0,0,"Biological sciences",11,0,0,1,0,0,0,0,0,1.97561475,18,1,"Biological sciences",0,NA,0,0
10,2012,"male","Natural Sciences",2012,"Q1",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"gbr","N","N",1,1,0,0,0,0,0,"first","",1,2012,3,NA,1,0,0,0,0,"Earth and related environmental sciences",2,0,0,1,0,0,0,0,0,1.4404641,17,NA,"Earth and related environmental sciences",0,NA,0,0
