"X","author_id","cohort","gender","discipline","doi_lower","pubyear","Jr_Quantile","n_ctr","n_aff","n_colla_ctr","n_colla_aff","sequence_nr","Original_Tweets","Original_Tweeters","len_tweet","len_tweeter","with_tw","self_pro_old","self_tw_time","self_text","others_first","searched","academic_age","most_ctr","colla_ctr_Y","colla_aff_Y","n_pub_3y","n_pub_1st","n_pub_2nd","n_pub_3rd","n_pub_pro_1st","n_pub_pro_2nd","n_pub_pro_3rd","seq_nr_grp_1","min_tw_time","first_firstauthor","PUBLICATIONYEAR","PUBLICATIONMONTH","PUBLICATIONDAY","pub_order","pub_before","tw_others_num","tw_only_self","tw_only_others","discipline_new_author","author_cnt","coauthor_pro_count","coauthor_pro","with_coauthor","SocialOutlet_count","Edu_count","SocialOutlet_pro","Edu_pro","soc_or_edu_pro","max_coa_fncr_5y","max_coa_age","uniqle_dis","discipline_new_pub","self_pro","chinese_name"
192815,55237503500,2013,"male","Medical and Health Sciences","10.3980/j.issn.1672-5123.2013.01.12",2013,"Q4",1,1,1,2,1,NA,NA,0,0,0,0,"","",0,1,1,"chn","N","Y",1,1,0,0,0,0,0,"first","",1,2013,1,NA,1,0,0,0,0,"Clinical medicine",3,0,0,1,0,0,0,0,0,0,1,1,"Clinical medicine",0,NA
514504,57189442711,2016,"male","Natural Sciences","10.5935/0103-5053.20150347",2016,"Q2",1,1,1,1,1,0,0,0,0,0,0,"","",0,1,1,"bra","N","N",3,1,0,2,0,0,0,"first","",1,2016,5,1,1,0,0,0,0,"Chemical sciences",5,0,0,1,0,0,0,0,0,0.4906812,21,1,"Chemical sciences",0,NA
158633,55985019400,2013,"female","Social Sciences","10.5901/mjss.2014.v5n18p79",2014,"Q3",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,0,2,"rus","N","N",6,2,3,1,0,0,0,"first","",1,2014,NA,NA,4,3,0,0,0,"Economics",3,0,0,1,0,0,0,0,0,0.5635578,3,NA,"Economics",0,NA
489200,57203229054,2016,"male","Medical and Health Sciences","10.1111/jgs.14321",2016,"Q1",1,1,1,1,1,6,6,6,6,1,0,"","",1,0,1,"usa","N","N",43,8,22,13,0,2,0,"first","2016-09-10",1,2016,10,1,2,1,6,0,1,"Clinical medicine",7,0,0,1,0,0,0,0,0,1.5094701,21,1,"Health sciences",0,0
322329,56237869100,2014,"male","Natural Sciences","10.1088/1054-660x/25/1/015301",2015,"Q1",1,2,1,3,1,NA,NA,0,0,0,0,"","",0,0,2,"chn","N","Y",9,2,5,2,0,0,0,"first","",1,2015,1,1,3,2,0,0,0,"Physical sciences and astronomy",12,0,0,1,0,0,0,0,0,0.5688651,20,NA,"Physical sciences and astronomy",0,NA
312462,56063964700,2014,"male","Natural Sciences","10.1016/j.neucom.2014.11.007",2015,"Q1",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,0,2,"chn","N","N",3,1,1,1,0,0,0,"first","",1,2015,3,25,2,1,0,0,0,"Computer and information sciences",4,0,0,1,0,0,0,0,0,1.5023198,12,NA,"Computer and information sciences",0,NA
509857,57191527433,2016,"male","Medical and Health Sciences","10.1038/ijos.2016.34",2016,"Q2",1,1,1,1,1,0,0,0,0,0,0,"","",0,1,1,"chn","N","N",2,1,0,1,0,0,0,"first","",1,2016,12,16,1,0,0,0,0,"Clinical medicine",11,0,0,1,0,0,0,0,0,3.90815,19,1,"Clinical medicine",0,NA
435470,56574943400,2015,"female","Natural Sciences","10.1186/s13071-015-0797-2",2015,"Q1",2,2,2,2,1,0,0,0,0,0,0,"","",0,1,1,"mys","Y","Y",6,1,1,4,0,0,0,"first","",1,2015,NA,NA,1,0,0,0,0,"Biological sciences",4,0,0,1,0,0,0,0,0,2.13077605,19,NA,"Biological sciences",0,NA
487562,56375017500,2016,"female","Medical and Health Sciences","10.1188/16.onf.199-218",2016,"Q3",1,1,1,1,1,3,3,3,3,1,0,"","",1,1,1,"gbr","N","N",4,1,2,1,0,0,0,"first","2016-02-27",1,2016,3,1,1,0,3,0,1,"Clinical medicine",3,0,0,1,0,0,0,0,0,1.87627065,9,1,"Health sciences",0,0
531777,56445998300,2016,"male","Natural Sciences","10.1016/j.cap.2018.02.012",2018,"Q2",1,1,1,1,1,0,0,0,0,0,0,"","",0,0,3,"aus","N","N",32,4,12,16,0,0,0,"first","",1,2018,5,1,23,22,0,0,0,"Materials engineering",8,0,0,1,0,0,0,0,0,1.6659381,15,NA,"Materials engineering",0,NA
