"X","author_id","cohort","gender","discipline","doi_lower","pubyear","Jr_Quantile","n_ctr","n_aff","n_colla_ctr","n_colla_aff","sequence_nr","Original_Tweets","Original_Tweeters","len_tweet","len_tweeter","with_tw","self_pro_old","self_tw_time","self_text","others_first","searched","academic_age","most_ctr","colla_ctr_Y","colla_aff_Y","n_pub_3y","n_pub_1st","n_pub_2nd","n_pub_3rd","n_pub_pro_1st","n_pub_pro_2nd","n_pub_pro_3rd","seq_nr_grp_1","min_tw_time","first_firstauthor","PUBLICATIONYEAR","PUBLICATIONMONTH","PUBLICATIONDAY","pub_order","pub_before","tw_others_num","tw_only_self","tw_only_others","discipline_new_author","author_cnt","coauthor_pro_count","coauthor_pro","with_coauthor","SocialOutlet_count","Edu_count","SocialOutlet_pro","Edu_pro","soc_or_edu_pro","max_coa_fncr_5y","max_coa_age","uniqle_dis","discipline_new_pub","self_pro","chinese_name"
391341,57191681445,2015,"male","Natural Sciences","10.1103/physrevd.94.035023",2016,"Q1",1,2,1,2,1,3,3,3,3,1,0,"","",1,0,2,"kor","N","Y",7,2,3,2,0,0,0,"first","2016-04-27",1,2016,8,24,5,4,3,0,1,"Physical sciences and astronomy",4,0,0,1,1,0,1,0,1,1.5249335,13,1,"Physical sciences and astronomy",0,0
296815,57191793958,2014,"male","Natural Sciences","10.1021/cb400801",2014,"Q1",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,0,1,"usa","N","N",6,4,1,1,0,0,0,"first","",1,2014,1,17,1,0,0,0,0,"Basic medical research",3,0,0,1,0,0,0,0,0,1.3034567,16,NA,"Basic medical research",0,NA
124038,57189372907,2013,"male","Natural Sciences","10.1093/comjnl/bxu063",2015,"Q2",1,1,1,1,1,0,0,0,0,0,0,"","",0,0,3,"ind","N","N",4,1,1,2,0,0,0,"first","",1,2015,9,16,4,3,0,0,0,"Computer and information sciences",3,0,0,1,0,0,0,0,0,1.1539949,18,1,"Computer and information sciences",0,NA
364994,49361602200,2015,"male","Natural Sciences","10.16058/j.issn.1005-0930.2015.03.022",2015,"Q2",1,1,1,2,1,NA,NA,0,0,0,0,"","",0,1,1,"chn","N","Y",3,1,1,1,0,0,0,"first","",1,2015,6,1,1,0,0,0,0,"Other engineering and technologies",5,0,0,1,0,0,0,0,0,0.936849165,3,1,"Other engineering and technologies",0,NA
550847,57158265100,2016,"male","Engineering and Technology","10.1016/j.matlet.2016.03.008",2016,"Q1",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"chn","N","N",1,1,0,0,0,0,0,"first","",1,2016,6,15,1,0,0,0,0,"Mechanical engineering",7,0,0,1,0,0,0,0,0,0.8001066,17,NA,"Mechanical engineering",0,NA
133826,7404889871,2013,"male","Engineering and Technology","10.1109/ted.2015.2445731",2015,"Q1",1,1,2,2,1,NA,NA,0,0,0,0,"","",0,0,3,"usa","Y","Y",5,1,0,4,0,0,0,"first","",1,2015,8,1,3,2,0,0,0,"Physical sciences and astronomy",14,0,0,1,0,0,0,0,0,1.1804098,20,NA,"Physical sciences and astronomy",0,NA
210811,55614332500,2013,"male","Natural Sciences","10.1109/jmems.2013.2243111",2013,"Q1",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"jpn","N","N",5,1,2,2,0,0,0,"first","",1,2013,NA,NA,1,0,0,0,0,"Physical sciences and astronomy",6,0,0,1,0,0,0,0,0,0.7924326,18,NA,"Physical sciences and astronomy",0,NA
246035,56323893100,2014,"male","Social Sciences","10.1109/tlt.2013.2294806",2014,"Q1",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"twn","N","N",2,1,1,0,0,0,0,"first","",1,2014,NA,NA,1,0,0,0,0,"Computer and information sciences",4,0,0,1,0,0,0,0,0,1.1166619,19,NA,"Computer and information sciences",0,NA
542592,36711622700,2016,"female","Natural Sciences","10.1109/tvcg.2015.2476805",2016,"Q1",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"usa","N","N",1,1,0,0,0,0,0,"first","",1,2016,7,1,1,0,0,0,0,"Computer and information sciences",5,0,0,1,0,0,0,0,0,3.36271265,21,1,"Computer and information sciences",0,NA
261257,56026903200,2014,"female","Medical and Health Sciences","10.1097/gme.0000000000000207",2014,"Q1",1,2,1,2,1,0,0,0,0,0,0,"","",0,1,1,"usa","N","Y",1,1,0,0,0,0,0,"first","",1,2014,NA,NA,1,0,0,0,0,"Clinical medicine",2,0,0,1,0,0,0,0,0,1.3649164,19,1,"Clinical medicine",0,NA
476685,57189212158,2016,"female","Natural Sciences","10.4158/ep161439.or",2017,"Q1",1,1,1,1,1,0,0,0,0,0,0,"","",0,0,2,"usa","N","N",2,1,1,0,0,0,0,"first","",1,2017,1,1,2,1,0,0,0,"Biological sciences",6,0,0,1,0,0,0,0,0,1.6398895,22,NA,"Biological sciences",0,NA
352534,56430627300,2014,"male","Natural Sciences","10.3390/molecules191117305",2014,"Q1",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"deu","N","N",1,1,0,0,0,0,0,"first","",1,2014,11,1,1,0,0,0,0,"Chemical sciences",5,0,0,1,0,0,0,0,0,0.743886815,19,NA,"Chemical sciences",0,NA
2824,55219911200,2012,"male","Social Sciences","10.1108/13552551211268139",2012,"Q1",1,1,1,1,1,1,1,1,1,1,0,"","",1,0,1,"gbr","N","N",5,2,1,2,0,0,0,"first","2012-09-20",1,2012,9,NA,1,0,1,0,1,"Economics",2,0,0,1,0,0,0,0,0,2.2061577,15,1,"Economics",0,0
